0,1,2,3,4,5,6,7,8,9,10,11
116,CH639,Principles and Applications of Molecular Fluorescence,3,0,0,6,Dept. Elective - II M. Sc. + PhD4-Sem,,D,07-05-2022(cid:10)(9:00 to 12:00),"Dr. Mohd. Qureshi, Dr. Arun Chattopadhyay"
117,CH644,Applied Quantum Chemistry,2,0,2,6,Open Elective,B. Tech. + MSc + PhD8-Sem,G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Manabendra Sarma
118,CL205,Mass Transfer Operations I,3,1,0,8,Compulsory,Undergraduate & IV,D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Kaustubha Mohanty
119,CL206,Solid Fluid Operations,3,0,0,6,Compulsory,Undergraduate & IV,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Subrata K. Mazumder
120,CL207,Computer Aided Numerical Methods,2,1,2,8,Compulsory,Undergraduate & IV,F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Prabir Saha & Dr. R. Anandalakshmi
121,CL208,Chemical Reaction Engineering I,2,1,0,6,Compulsory,Undergraduate & IV,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Nageswara Rao Peela
122,CL209,Process Equipment Design I,1,0,3,5,Compulsory,Undergraduate &IV,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Mihir Kumar Purkait
123,CL210H,Laboratory 1: Fluid Mechanics,0,0,3,1.5,Compulsory,Undergraduate & IV,,,Dr. Kaustubha Mohanty   & Dr. Omkar  Deshmukh
124,CL211H,Laboratory 2: Heat Transfer,0,0,3,1.5,Compulsory,Undergraduate & IV,,,Dr. Pankaj Tiwari & Dr. Senthilmurugan S
125,CL304,Chemical Process Technology,3,0,0,6,Compulsory,Undergraduate & VI,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Vimal Katiyar
126,CL305,Transport Phenomena,2,1,0,6,Compulsory,Undergraduate & VI,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Amit Kumar
127,CL306,Process Engineering & Economics,2,1,0,6,Compulsory,Undergraduate & VI,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Sumit Kumar
128,CL312,Computer Aided Process Equipmen Design,0,0,3,3,Compulsory,Undergraduate & VI,,,Dr. Tamal Banerjee & Dr. Raghvendra Gupta
129,CL313,Laboratory 4: Mass Transfer,0,0,3,3,Compulsory,Undergraduate & VI,,,Dr. Chandan Das & Dr. Mahuya De
130,CL314H,Laboratory 5: Reaction Engineering,0,0,3,1.5,Compulsory,Undergraduate & VI,,,Dr. Subrata K. Mazumder & Dr. Vaibhav V. Goud
131,CL315H,Laboratory 6: Process Control,0,0,3,1.5,Compulsory,Undergraduate & VI,,,Dr. Nanda Kishore
132,CL503,Advanced Thermodynamics,3,0,0,6,Compulsory,Post Graduate  & II,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Tamal Banerjee
133,CL504,Advanced reaction Engineering,3,0,0,6,Compulsory,Post Graduate  & II,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Bishnupada Mandal & Dr. Prabu Vairakannu
134,CL505,Petroleum Production Engineering,3,0,0,6,Compulsory,Post Graduate  & II,F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. Abhijit Kakati
135,CL506,Smart Materials,3,0,0,6,Compulsory,Post Graduate  & II,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Partho  S.G Pattader
136,CL514,Fundamentals of Material Science & Engineering,3,0,0,6,Compulsory,Post Graduate  & II,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Chandan Das  & Pallab Ghosh
137,CL598,Petroleum Laboratory,0,0,3,3,Compulsory,Post Graduate  & II,,,"Dr. G. Pugazhenti & Dr. Abhijit Kakati & Dr. Sumit 
Kumar"
138,CL599,Scientific Communications,0,0,2,2,Compulsory,Post Graduate  & II,,,Dr. Vijay S. Moholkar & Dr. Pallab Ghosh
139,CL612,Colloid and Interface Science,3,0,0,6,Dept. Elective,"Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",,,Dr. Omkar  Deshmukh
140,CL613,Computational Fluid Dynamics,3,0,0,6,"Open Elective
Dept. Elective","Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",,,Dr. R Anandalakshmi
141,CL615,Optimization Techniques,3,0,0,6,Dept. Elective,"Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Senthilmurugan S
142,CL619,Refinery process design,3,0,0,6,Dept. Elective,"Undergraduate & VIII, Post Graduate  & II, PhD & all",,09-05-2022(cid:10)(9:00 to 12:00),Dr. Animes Golder
143,CL622,Molecular simulations: Principles and Applications,3,0,0,6,Dept. Elective,"Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Ashok K. Dasmahapatra
144,CL625,Fundamentals of micro-nanofluidics & microfabrication,3,0,0,6,Dept. Elective,"Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",,,Dr. Dipankar Bandyopadhyay
145,CL626,Energy Resources,3,0,0,6,Dept. Elective,"Undergraduate &VIII, Post Graduate  & II, PhD & all",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Vaibhav V. Goud
146,CL627,Multiphase flow,3,0,0,6,Dept. Elective,"Undergraduate & VIII, Post Graduate  & II, PhD & all",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Anugrah Singh
147,CL628,Catalysis and adsorbents,3,0,0,6,Dept. Elective,"Undergraduate & VIII, Post Graduate  & II, PhD & all",,09-05-2022(cid:10)(9:00 to 12:00),Dr. Mahuya De
148,CL634,Applied Rheology,3,0,0,6,Dept. Elective,"Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Nanda Kishore
149,CL636,Microelectronic fabrication,3,0,0,6,Dept. Elective,"Undergraduate & (VI,VIII), Post Graduate (MST)  & II, PhD & 
all",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. R. Prasanna Venkatesh
150,CL640,Research Methodology and Scientific Writing,3,0,0,6,Dept. Elective,"Post Graduate  & (II, IV), PhD & all",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Ramgopal V S Uppaluri
151,CL643,Computer aided applied optimization,3,0,0,6,Dept. Elective,"Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",,,Dr. Prakash Kotecha
152,CL650,Quantum technologies in chemcial engineering,3,0,0,6,Dept. Elective,"Undergraduate &VIII, Post Graduate  & II, PhD & all",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Tapas K. Mandal
153,CL651,Foundations of Data Science for Engineers,3,0,0,6,"Open Elective & 
Dept. Elective","Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all",,,Dr. Resmi Suresh M P
154,CS205,"Formal Languages, Automata Theory, and Computation",3,0,0,6,Compulsory,B. Tech. 4th Sem.,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. R. Inkulu
155,CS206M,Datastructures and Algorithms,3,0,0,6,Minor,B. Tech. 4th Sem. Minor,G,10-05-2022(cid:10)(9:00 to 12:00),Dr. S. V. Rao
156,CS207,Design and Analysis of Algorithms,3,0,0,6,Compulsory,B. Tech. 4th Sem.,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. G. Sajith
