Roll no,Division,Tutorial,Lab
220102029,II,T7,L4
220102030,II,T7,L4
220102031,II,T8,L4
220102032,II,T8,L4
220102033,II,T8,L4
220102034,II,T8,L4
220102035,II,T8,L4
220102036,II,T9,L4
220102037,II,T9,L4
220102038,II,T9,L4
220102039,II,T9,L4
220102040,II,T9,L4
220102041,II,T10,L4
220102042,II,T10,L4
220102043,II,T10,L4
220102044,II,T10,L4
220102045,II,T10,L4
220102046,II,T11,L4
220102047,II,T11,L4
220102048,II,T11,L4
220102049,II,T11,L4
220102050,II,T11,L4
220102051,II,T12,L4
220102052,II,T12,L4
220102053,II,T12,L4
220102054,II,T12,L4
220102055,II,T12,L4
220102056,II,T13,L4
220102057,II,T13,L4
220102058,II,T13,L4
220102059,II,T13,L4
220102060,II,T13,L4
220102061,II,T14,L4
220102062,II,T14,L4
220102063,II,T14,L4
220102064,II,T14,L4
220102065,II,T14,L4
220102066,II,T15,L4
220102067,II,T15,L4
220102068,II,T15,L4
220102069,II,T15,L4
220102070,II,T15,L4
220102071,II,T15,L4
220102072,II,T15,L4
220102073,II,T16,L4
220102074,II,T16,L4
220102075,II,T16,L4
220102076,II,T16,L4
220102077,II,T16,L4
220102078,II,T16,L4
220102079,II,T16,L4
220102080,II,T16,L4
220102081,II,T17,L4
220102082,II,T17,L4
220102083,II,T17,L4
220102084,II,T17,L4
220102085,II,T17,L4
220102086,II,T17,L4
220102087,II,T17,L4
220102088,II,T17,L4
220102089,II,T18,L4
220102090,II,T18,L4
220108053,II,T12,L4
220108054,II,T12,L4
220108055,II,T12,L4
220108056,II,T13,L4
220108057,II,T13,L4
220108058,II,T13,L4
220108059,II,T13,L4
220108060,II,T13,L4
220108061,II,T14,L4
220108062,II,T14,L4
220108063,II,T14,L4
220108064,II,T14,L4
220108065,II,T14,L4
220106001,II,T1,L4
220106002,II,T1,L4
220106003,II,T1,L5
220106004,II,T1,L5
220106005,II,T2,L5
220106006,II,T2,L5
