Roll no,Division,Tutorial,Lab,Location
220151002,I,T1,L3,5G1
220151003,I,T1,L3,5G1
220151004,I,T1,L3,5G1
220151005,I,T2,L3,2101
220151006,I,T2,L3,2101
220151007,I,T2,L3,2101
220151008,I,T2,L3,2101
220151009,I,T2,L3,2101
220151010,I,T3,L3,2203
220151011,I,T3,L3,2203
220151012,I,T3,L3,2203
220151014,I,T4,L3,2204
220151015,I,T4,L3,2204
220151016,I,T4,L3,2204
220151017,I,T4,L3,2204
220151018,I,T5,L3,3102
220151019,I,T5,L3,3102
220151020,I,T5,L3,3102
220103091,I,T18,L3,L1
220103092,I,T18,L3,L1
220103093,I,T18,L3,L1
220103094,I,T18,L3,L1
220103095,I,T18,L3,L1
220103096,I,T18,L3,L1
220103097,I,T18,L3,L1
220103098,I,T19,L3,L2
220103099,I,T19,L3,L2
220103100,I,T19,L3,L2
220103101,I,T19,L3,L2
220103102,I,T19,L3,L2
220103103,I,T19,L3,L2
220103104,I,T19,L3,L2
220103105,I,T19,L3,L2
220103106,I,T19,L3,L2
220103107,I,T19,L3,L2
220103108,I,T19,L3,L2
220103109,I,T19,L3,L2
220103110,I,T19,L3,L2
220103111,I,T19,L3,L2
220103112,I,T20,L3,L3
220103113,I,T20,L3,L3
220103114,I,T20,L3,L3
220103115,I,T20,L3,L3
220103116,I,T20,L3,L3
220103117,I,T20,L3,L3
220103118,I,T20,L3,L3
220103119,I,T20,L3,L3
220103120,I,T20,L3,L3
220102104,II,T19,L3,L2
220102105,II,T19,L3,L2
220108001,II,T1,L3,5G1
220108002,II,T1,L3,5G1
220108003,II,T1,L3,5G1
220108004,II,T1,L3,5G1
220108005,II,T2,L3,2101
220108006,II,T2,L3,2101
220108007,II,T2,L3,2101
220108008,II,T2,L3,2101
220108009,II,T2,L3,2101
220108010,II,T3,L3,2203
220108011,II,T3,L3,2203
220108012,II,T3,L3,2203
220108013,II,T3,L3,2203
220108014,II,T4,L3,2204
220108015,II,T4,L3,2204
220108016,II,T4,L3,2204
220108018,II,T5,L3,3102
220108019,II,T5,L3,3102
220108020,II,T5,L3,3102
220108021,II,T5,L3,3102
220108022,II,T6,L3,3202
220108023,II,T6,L3,3202
220108024,II,T6,L3,3202
220108025,II,T6,L3,3202
220108026,II,T6,L3,3202
220108027,II,T7,L3,4001
220108028,II,T7,L3,4001
220108029,II,T7,L3,4001
220108030,II,T7,L3,4001
220108031,II,T8,L3,4005
220108032,II,T8,L3,4005
220108033,II,T8,L3,4005
220108034,II,T8,L3,4005
220108035,II,T8,L3,4005
220108037,II,T9,L3,4006
220108038,II,T9,L3,4006
220108039,II,T9,L3,4006
220108040,II,T9,L3,4006
220108042,II,T10,L3,5201
220108043,II,T10,L3,5201
220108044,II,T10,L3,5201
220108046,II,T11,L3,1205
220108047,II,T11,L3,1205
220108048,II,T11,L3,1205
220108049,II,T11,L3,1205
220108050,II,T11,L3,1205
220108051,II,T12,L3,5206
220108052,II,T12,L3,5206
220102001,II,T1,L3,5G1
220102002,II,T1,L4,5G1
220102003,II,T1,L4,5G1
220102004,II,T1,L4,5G1
220102006,II,T2,L4,2101
220102007,II,T2,L4,2101
220102008,II,T2,L4,2101
220102009,II,T3,L4,2203
220102010,II,T3,L4,2203
220102011,II,T3,L4,2203
220102012,II,T3,L4,2203
220102013,II,T3,L4,2203
220102014,II,T4,L4,2204
220102015,II,T4,L4,2204
220102016,II,T4,L4,2204
220102017,II,T4,L4,2204
220102018,II,T5,L4,3102
220102019,II,T5,L4,3102
220102020,II,T5,L4,3102
220102021,II,T5,L4,3102
220102022,II,T6,L4,3202
220102023,II,T6,L4,3202
220102025,II,T6,L4,3202
220102026,II,T6,L4,3202
220102027,II,T7,L4,4001
220102028,II,T7,L4,4001
220102029,II,T7,L4,4001
220102030,II,T7,L4,4001
220102031,II,T8,L4,4005
220102032,II,T8,L4,4005
220102033,II,T8,L4,4005
220102034,II,T8,L4,4005
220102035,II,T8,L4,4005
220102036,II,T9,L4,4006
220102037,II,T9,L4,4006
220102038,II,T9,L4,4006
220102039,II,T9,L4,4006
220102040,II,T9,L4,4006
220102041,II,T10,L4,5201
220102042,II,T10,L4,5201
220102044,II,T10,L4,5201
220102045,II,T10,L4,5201
220102046,II,T11,L4,1205
220102047,II,T11,L4,1205
220102048,II,T11,L4,1205
220102049,II,T11,L4,1205
220102050,II,T11,L4,1205
220102051,II,T12,L4,5206
220102052,II,T12,L4,5206
220102053,II,T12,L4,5206
220102054,II,T12,L4,5206
220102055,II,T12,L4,5206
220102056,II,T13,L4,1G1
220102057,II,T13,L4,1G1
220102058,II,T13,L4,1G1
220102059,II,T13,L4,1G1
220102060,II,T13,L4,1G1
220102061,II,T14,L4,1G2
220102063,II,T14,L4,1G2
220102064,II,T14,L4,1G2
220102065,II,T14,L4,1G2
220102066,II,T15,L4,4210
220102067,II,T15,L4,4210
220102068,II,T15,L4,4210
220102069,II,T15,L4,4210
220102070,II,T15,L4,4210
220102071,II,T15,L4,4210
220102072,II,T15,L4,4210
