code,name,slot,venue,prof,prof_id
CE 622,Geometric Design of Transportation Facilities,C1,,Anjan Kumar S,sak
CE 618,Mechanics of Unsaturated Soils,C1,,T. V. Bharat,tvb
CE 616,Blast and Impact Resistant Design,F,,Hrishikesh Sharma,shrishi
CE 615,Design of Masonry Structures,C1,,Hemant B. Kaushik,hemantbk
CE 614,Financing Infrastructure Projects,A,,Laishram Boeing Singh,boeing
CE 612,Advanced Concrete Technology,C,,Indu Siva Ranjani G,gindu
CE 609,Computation Plasticity,B1,,Arbind K. Singh,arvind
CE 608,Reliability based Structural Design,A1,,Arunasis Chakraborty,arunasis
CE 607,Random Vibration,D,,Sandip Das,sandip.das
CE 606,Earthquake Engineering,B,,Sajal K. Deb,skdeb
CE 599,M Tech Project Phase II,--,,Abhishek Verma,abhi.verma
CE 595,Advanced Techniques in Geosciences,E1,,Sayantan Chakraborty,sayantan_c
CE 594,Geohazards Science and Engineering,C1,,"Rishikesh Bharti, Archana M Nair","rbharti,nair.archana"
CE 585,Credit Seminar,--,,Rajan Choudhary,rajandce
CE 584,Traffic Engineering,A1,,Akhilesh Kumar Maurya,maurya
CE 583,Pavement Analysis and Design,B1,,Teiborlang L. Ryntathiang,lyngdoh
CE 573,Seismic Evaluation and Retrofitting of Structures,C,,Romanbabu Oinam,romanbabu
CE 570,River Engineering,D,,Bimlesh Kumar,bimk
CE 562,Transient Flow Analysis,D1,,Sreeja P.,sreeja
CE 559,Watershed Management and Remote Sensing Applications,F,,Subashisa Dutta,subashisa
CE 556,Subsurface Hydrology,F1,,"Suresh A. Kartha, Gautam Barua","kartha,g_barua"
CE 555,Principles of Water Quality and EIA,E,,Suresh A. Kartha,kartha
CE 550,Project and Thesis Phase II,--,,Abhishek Verma,abhi.verma
CE 544,Project Management Laboratory,--,,"Santu Kar, Sparsh Johari","skar,sparshjohari"
CE 534,Seminar Course,--,,Kaling Taki,kaling.taki
CE 533,Advance Foundation Engineering,B1,,Anil Kumar Mishra,anilmishra
CE 525,Solids and Hazardous Waste,G,,Ajay Kalamdhad,kajay
CE 524,Biological Process in Environmental Engineering,D,,Saswati Chakraborty,saswati
CE 511,Analysis and Design of Bridges,E1,,Sudip Talukdar,staluk
CE 510,Quality and Safety Management in Construction,B,,Sparsh Johari,sparshjohari
CE 504,Advanced Structural Design,A,,Kaustubh Dasgupta,kd
CE 499,BTP Phase II,--,,,dppccivil
CE 324,Mathematical Concepts and Applications in Civil Engineering,E1,,Budhaditya Hazra,budhaditya.hazra
CE 323,Transportation Engineering II - Laboratory,--,,"C. Mallikarjuna, Nipjyoti Bharadwaj","c.mallikarjuna,nbharadwaj"
CE 322,Transportation Engineering II,A1,,RB. Sharmila,rb.sharmila
CE 321,Hydrology Laboratory,--,,Rajib Kumar Bhattacharjya,rkbc
CE 320,Engineering Hydrology,B1,,Rajib Kumar Bhattacharjya,rkbc
CE 309,Design of Steel Structures,C1,,Amit Shelke,amitsh
CE 308,Construction Technology and Management,D1,,Santu Kar,skar
CE 223,Environmental Engineering I Lab,--,,Sharad Gokhale,sharadbg
CE 222,Environmental Engineering I,D,,Pranab K. Ghosh,pkghosh
CE 221,Hydraulics and Hydraulic Structures Laboratory,--,,Arup K. Sarma,aks
CE 220,Hydraulics and Hydraulic Structures,E,,Arup K. Sarma,aks
CE 215,Geotechnical Engineering Laboratory,--,,Baleshwar Singh,baleshwar
CE 213,Surveying Laboratory,--,,Ajay Dashora,abd
CE 206,Geotechnical Engineering,C,,Ravi K.,ravi.civil
CE 205,Structural Analysis I,B,,Anjan Dutta,adutta
CE 201,Surveying,A,,Ajay Dashora,abd
BT 699,M. Tech Project II (MTP II),--,,Vishal Trivedi,vtrivedi
BT 651,Quantum Chemistry of atoms and molecules,A1,,Rajaram Swaminathan,rsw
BT 640,Neural Imaging and Signal Systems,B1,,Navin Gupta,cngupta
BT 638,Cellular And Molecular Aspects of Aging,B,,Shirisha Nagotu,snagotu
BT 634,Animal Models in Biomedical Research,D1,,A. B. Kunnumakkara,kunnumakkara
BT 630,Physical Cell Biology,F,,B Anand,banand
BT 624,Fluorescence Techniques in Biotechnology,F1,,Nitin Chaudhary,chaudhary
BT 619,Essentials of Genetics,D1,,Rakhi Chaturvedi,rakhi_chaturvedi
BT 616,Molecular Virology,B1,,Sachin Kumar,sachinku
BT 608,Microbial Biotechnology,B,,"Arun Goyal, Gurvinder Kaur Saini","arungoyl,gurvinder"
BT 607,Plant Biotechnology,A1,,Lingaraj Sahoo,ls
BT 601,Analytical Biotechnology,G,,Siddhartha S. Ghosh,sghosh
BT 540,Applied Bioengineering Lab,--,,"Bithiah G. Jaganathan, Lalit Mohan Pandey","bithiahgj,lalitpandey"
BT 524,Bioinstrumentation & Control,A,,S Senthilkumar,senthilkumar
BT 523,Metabolic Engineering,B,,Debasish Das,debasishd
BT 522,Advanced Bioengineering,D,,"Biman B Mandal, Souptick Chanda","biman.mandal,csouptick"
BT 520,Applied Biology and Bioengineering Lab,--,,Utpal Bora,ubora
BT 504,Biomolecular and Cellular Process Engineering,D,,Kannan Pakshirajan,pakshi
BT 502,Quantitative Biology,A,,"Anil Mukund Limaye, Shankar Prasad Kanaujia","amul,spkanaujia"
BT 402,BTech Project-II,--,,Rajkumar P. Thummer,rthu
BT 308,Bioengineering,D1,,"Biman B Mandal, Pranab Goswami","biman.mandal,pgoswami"
BT 307,Biological Data Analysis,C1,,"Anil Mukund Limaye, Biplab Bose","amul,biplabbose"
BT 306,Bioseparation Engineering,B1,,Aiyagari Ramesh,aramesh
BT 305,Computational Biology,A1,,Vibin Ramakrishnan,vibin
BT 302M,Bioprocess Technology,G1,,V. Venkata Dasu,veeranki
BT 211,Basic Biotechnology Lab,--,,"Ranjan Tamuli, Vishal Trivedi","ranjantamuli,vtrivedi"
BT 209,Bioreaction Engineering,B,,Soumen Kumar Maiti,soumenkm
BT 208,Transport Phenomenon in Bioprocesses,A,,Narayanasamy Selvaraju,selva
BT 207,Genetic Engineering,C,,Sanjukta Patra,sanjukta
BT 206,Microbiology,D,,Manish Kumar,mkumar1
BT 202M,Molecular Biotechnology,F,,"Nitin Chaudhary, Sachin Kumar","chaudhary,sachinku"
BT 101,Introductory Biology,--,,"Souptick Chanda, Kusum K Singh, Priyadarshi Satpati,Rajkumar P. Thummer","csouptick,kusumsingh,psatpati,rthu"
BM 515H,Strategic Management,E,,,skbishwas
BM 514H,Organization Structure and Design,D,,"Abraham Cyril Issac, Nachiketa Tripathi","issacac,nachi"
BM 513H,Business Communication,C,,"Kuldeep Baishya,","kuldeep.baishya,skbishwas"
BM 512H,Computer-aided Operations Research,B,,", Kotecha Prakash","priyank.sinha,pkotecha"
BM 511H,Corporate Finance,A,,"Abhay Pant, Siddhartha Pratim Chakrabarty","abhaypant,pratim"
