code,venue,roll
BT404,1204,"220106067, 220106068, 220106070, 220106071, 220106073, 220106075, 220106076, 220106077, 220106078, 220106079, 220106080, 220106081, 220106082, 220106083, 220106084, 220106085, 220106086, 220106087, 220106088, 220106089, 220106091, 220106092, 220106093, 210106038"
BT405,5402,"220101003, 220108010, 220123036, 220123040, 220123057, 220101008, 220101009, 220101010, 220101031, 220101037, 220101040, 220101046, 220101052, 220101064, 220101076, 220101081, 220101087, 220101107, 220101113, 220102048, 220102064, 220102086, 220102108, 220102109, 220102112, 220102116, 220102119"
BT405,5403,"220103001, 220103006, 220103032, 220103042, 220103045, 220103050, 220103055, 220103059, 220103060, 220103065, 220103073, 220103080, 220103086, 220103100, 220103102, 220103125, 220103129, 220104002, 220104004, 220104017, 220104022, 220104025, 220104028, 220104034, 220104037, 220104040, 220104052"
BT405,5404,"220104059, 220104072, 220104078, 220104102, 220104105, 220104106, 220104111, 220104112, 220106001, 220106004, 220106007, 220106009, 220106010, 220106014, 220106015, 220106017, 220106018, 220106019, 220106023, 220106025, 220106026, 220106030, 220106031, 220106032, 220106035, 220106036, 220106037"
BT405,5405,"220106046, 220106048, 220106052, 220106056, 220106063, 220106066, 220106070, 220106075, 220106081, 220106085, 220107057, 220107064, 220107069, 220107107, 220108005, 220108049, 220121001, 220121004, 220121016, 220121019, 220121045, 220121048, 220121053, 220121058, 220121069, 220122003, 220122018"
BT405,5406,"220122022, 220122025, 220122038, 220122061, 220122062, 220123020, 220123024, 220123025, 220123029, 220123038, 220123049, 220123050, 220123053, 220123068, 220123080, 220123081, 220123082, 220150004, 220151001, 220151009, 220106040, 210106038"
BT407,5404,"254106009, 220106001, 220106016, 220106024, 220106026, 220106028, 220106031, 220106050, 220106082, 220106009, 250359008, 254106002, 254106023, 254106037, 256106001"
BT414,1201,"220106001, 220106004, 220106005, 220106006, 220106007, 220106008, 220106009, 220106010, 220106012, 220106013, 220106014, 220106015, 220106016, 220106017, 220106018, 220106019, 220106020, 220106022, 220106023, 220106024, 220106025, 220106029, 220106030, 220106031, 220106032, 220106033"
BT414,1202,"220106034, 220106035, 220106036, 220106037, 220106039, 220106040, 220106041, 220106042, 220106043, 220106044, 220106045, 220106046, 220106047, 220106048, 220106051, 220106052, 220106054, 220106056, 220106057, 220106059, 220106060, 220106061, 220106062, 220106063, 220106064, 220106065"
BT414,1204,"220106066, 220106067, 220106068, 220106070, 220106071, 220106073, 220106075, 220106076, 220106077, 220106078, 220106079, 220106080, 220106083, 220106084, 220106085, 220106086, 220106087, 220106088, 220106089, 220106091, 220106092, 220106093, 210106016"
BT415,L1,"220106023, 220106040, 220106056, 220108049, 230102011, 230102019, 230102025, 230102033, 230102063, 230102099, 230102120, 230106003, 230106010, 230106012, 230106017, 230106018, 230106023, 230106028, 230106029, 230106034, 230106038, 230106043, 230106044, 230106046, 230106047, 230106048"
BT415,L4,"230106050, 230106059, 230106060, 230106073, 230106075, 230106079, 230106081, 230106083, 230107007, 230107013, 230107022, 230107023, 230107032, 230107054, 230107063, 230108010, 230108013, 230121009, 230121015, 230121039, 230121058, 230122028, 230122037, 230122049, 220151001"
BT416,5301,"220106004, 220106005, 220106006, 220106007, 220106010, 220106012, 220106013, 220106014, 220106015, 220106017, 220106018, 220106019, 220106020, 220106022, 220106023, 220106025, 220106026, 220106028, 220106029, 220106030, 220106032, 220106033, 220106034, 220106035, 220106036, 220106037"
BT416,5302,"220106039, 220106040, 220106041, 220106042, 220106043, 220106044, 220106045, 220106046, 220106047, 220106048, 220106050, 220106051, 220106052, 220106053, 220106054, 220106056, 220106057, 220106059, 220106060, 220106061, 220106062, 220106063, 220106064, 220106065, 220106066, 220106067"
BT416,5303,"220106068, 220106070, 220106071, 220106073, 220106075, 220106076, 220106077, 220106078, 220106079, 220106080, 220106081, 220106082, 220106083, 220106084, 220106085, 220106086, 220106087, 220106088, 220106089, 220106091, 220106092, 220106093"
BT420,2201,"230106001, 230106002, 230106003, 230106005, 230106006, 230106007, 230106008, 230106009, 230106010, 230106011, 230106012, 230106014, 230106015, 230106017, 230106018, 230106019, 230106020, 230106021, 230106022, 230106023, 230106024, 230106026, 230106027, 230106028, 230106029, 230106030, 230106031, 230106032, 230106034, 230106035, 230106036, 230106038, 230106040, 230106041, 230106042, 230106043, 230106044"
BT420,2203,"230106045, 230106046, 230106047, 230106048, 230106049, 230106050, 230106051, 230106052, 230106053, 230106055, 230106056, 230106058, 230106059, 230106060, 230106061, 230106063, 230106065, 230106067, 230106068, 230106069, 230106070, 230106071, 230106073, 230106074, 230106075, 230106076, 230106077, 230106078, 230106079, 230106081, 230106082, 230106083, 230106084, 240106067"
BT502,5405,"256106104, 256106109, 254106009, 254106001, 254106002, 254106003, 254106004, 254106005, 254106006, 254106007, 254106008, 254106010, 254106011, 254106012, 254106013, 254106014, 254106015, 254106016, 254106017, 254106018, 254106019, 254106020, 254106021, 254106022, 254106023, 254106024"
BT502,5406,"254106025, 254106026, 254106027, 254106028, 254106029, 254106030, 254106031, 254106032, 254106033, 254106034, 254106035, 254106036, 254106037, 254106038, 254106039, 254106040, 254106041, 254106042, 254106043, 256106011, 256106106"
BT504,2202,"256106102 , 256106108, 254106009, 250359021, 254106001, 254106002, 254106003, 254106004, 254106005, 254106006, 254106007, 254106008, 254106010, 254106011, 254106012, 254106013, 254106014, 254106015, 254106016, 254106017, 254106018, 254106019, 254106020, 254106021, 254106022"
BT504,2204,"254106023, 254106024, 254106025, 254106026, 254106027, 254106028, 254106029, 254106030, 254106031, 254106032, 254106033, 254106034, 254106035, 254106036, 254106037, 254106038, 254106039, 254106040, 254106041, 254106042, 254106043, 256160101, 256106013"
BT522,5403,"256106108, 254106101, 254106102, 254106103, 254106104, 254106105, 254106106, 254106107, 254106108, 254106109, 254106110, 256160101, 256106013"
BT523,5303,"254106101, 254106102, 254106103, 254106104, 254106105, 254106106, 254106107, 254106108, 254106109, 254106110, 256160101, 256106013"
BT524,L3,"254106101, 254106102, 254106103, 254106104, 254106105, 254106106, 254106107, 254106108, 254106109, 254106110, 256106013"
BT601,2204,"256106101, 256106109, 256106110, 256106111, 256152101, 256158101, 256160102, 254106022, 254106103, 256107010"
